"""run_id""","""kingdom""","""phylum""","""class""","""orders""","""family""","""genus""","""species"""
"""ERR1072624""","""bacteria""","""proteobacteria""","""gammaproteobacteria""","""pseudomonadales""","""pseudomonadaceae""","""pseudomonas""","""fragi"""
"""ERR1072625""","""bacteria""","""proteobacteria""","""gammaproteobacteria""","""enterobacteriales""","""enterobacteriaceae""",,
"""ERR1072626""","""bacteria""","""bacteroidetes""","""bacteroidia""","""bacteroidales""","""bacteroidaceae""","""bacteroides""",
"""ERR1072627""","""bacteria""","""bacteroidetes""","""bacteroidia""","""bacteroidales""","""bacteroidaceae""","""bacteroides""","""fragilis"""
"""ERR1072628""","""bacteria""","""bacteroidetes""","""bacteroidia""","""bacteroidales""","""bacteroidaceae""","""bacteroides""","""uniformis"""
"""ERR1072629""","""bacteria""","""proteobacteria""","""gammaproteobacteria""","""pseudomonadales""","""pseudomonadaceae""","""pseudomonas""","""fragi"""
"""ERR1072630""","""bacteria""","""bacteroidetes""","""bacteroidia""","""bacteroidales""","""bacteroidaceae""","""bacteroides""","""ovatus"""
"""ERR1072631""","""bacteria""","""firmicutes""","""erysipelotrichi""","""erysipelotrichales""","""erysipelotrichaceae""",,
"""ERR1072632""","""bacteria""","""bacteroidetes""","""bacteroidia""","""bacteroidales""","""bacteroidaceae""","""bacteroides""",
"""ERR1072633""","""bacteria""","""bacteroidetes""","""bacteroidia""","""bacteroidales""","""porphyromonadaceae""","""parabacteroides""",
"""ERR1072634""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""veillonellaceae""","""phascolarctobacterium""",
"""ERR1072635""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""ruminococcaceae""","""faecalibacterium""","""prausnitzii"""
"""ERR1072636""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""ruminococcaceae""",,
"""ERR1072637""","""bacteria""","""bacteroidetes""","""bacteroidia""","""bacteroidales""","""bacteroidaceae""","""bacteroides""",
"""ERR1072638""","""bacteria""","""bacteroidetes""","""bacteroidia""","""bacteroidales""","""bacteroidaceae""","""bacteroides""",
"""ERR1072639""","""bacteria""","""bacteroidetes""","""bacteroidia""","""bacteroidales""","""bacteroidaceae""","""bacteroides""",
"""ERR1072640""","""bacteria""","""proteobacteria""","""deltaproteobacteria""","""desulfovibrionales""","""desulfovibrionaceae""","""bilophila""",
"""ERR1072641""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""ruminococcaceae""",,
"""ERR1072642""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""ruminococcaceae""",,
"""ERR1072643""","""bacteria""","""proteobacteria""","""betaproteobacteria""","""burkholderiales""","""alcoligenaceae""","""sutterella""",
"""ERR1072644""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""lachnospiraceae""","""roseburia""","""faecis"""
"""ERR1072645""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""lachnospiraceae""","""blautia""","""obeum"""
"""ERR1072646""","""bacteria""","""firmicutes""","""erysipelotrichi""","""erysipelotrichales""","""erysipelotrichaceae""","""coprobacillus""",
"""ERR1072647""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""ruminococcaceae""","""faecalibacterium""","""prausnitzii"""
"""ERR1072648""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""lachnospiraceae""","""clostridium""","""hathewayi"""
"""ERR1072649""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""ruminococcaceae""","""gemmiger""","""formicilis"""
"""ERR1072650""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""lachnospiraceae""","""blautia""",
"""ERR1072651""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""lachnospiraceae""","""coprococcus""",
"""ERR1072652""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""",,,
"""ERR1072653""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""ruminococcaceae""","""faecalibacterium""","""prausnitzii"""
"""ERR1072654""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""",,,
"""ERR1072655""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""ruminococcaceae""",,
"""ERR1072656""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""lachnospiraceae""",,
"""ERR1072657""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""clostridiaceae""","""clostridium""",
"""ERR1072658""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""lachnospiraceae""","""lachnospira""",
"""ERR1072659""","""bacteria""","""bacteroidetes""","""bacteroidia""","""bacteroidales""","""rikenellaceae""","""alistipes""","""putredinis"""
"""ERR1072660""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""ruminococcaceae""","""ruminococcus""",
"""ERR1072661""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""clostridiaceae""","""clostridium""","""celatum"""
"""ERR1072662""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""lachnospiraceae""","""blautia""",
"""ERR1072663""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""lachnospiraceae""","""clostridium""",
"""ERR1072664""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""lachnospiraceae""","""ruminococcus""",
"""ERR1072665""","""bacteria""","""bacteroidetes""","""bacteroidia""","""bacteroidales""","""S24-7""",,
"""ERR1072666""","""bacteria""","""bacteroidetes""","""bacteroidia""","""bacteroidales""","""porphyromonadaceae""","""parabacteroides""","""gordonii"""
"""ERR1072667""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""ruminococcaceae""","""ruminococcus""",
"""ERR1072668""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""lachnospiraceae""","""ruminococcus""","""gnavus"""
"""ERR1072669""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""",,,
"""ERR1072670""","""bacteria""","""bacteroidetes""","""bacteroidia""","""bacteroidales""","""rikenellaceae""",,
"""ERR1072671""","""bacteria""","""actinobacteria""","""actinobacteria""","""bifidobacteriales""","""bifidobacteriaceae""","""bifidobacterium""",
"""ERR1072672""","""bacteria""","""firmicutes""","""erysipelotrichi""","""erysipelotrichales""","""erysipelotrichaceae""",,
"""ERR1072673""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""ruminococcaceae""",,
"""ERR1072674""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""ruminococcaceae""","""butyricicoccus""","""pullicaecorum"""
"""ERR1072675""","""bacteria""","""firmicutes""","""erysipelotrichi""","""erysipelotrichales""","""erysipelotrichaceae""","""eubacterium""","""dolichum"""
"""ERR1072676""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""ruminococcaceae""",,
"""ERR1072677""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""mogibacteriaceae""",,
"""ERR1072678""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""mogibacteriaceae""",,
"""ERR1072679""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""ruminococcaceae""","""ruminococcus""",
"""ERR1072680""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""lachnospiraceae""","""clostridium""","""clostridioforme"""
"""ERR1072681""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""lachnospiraceae""",,
"""ERR1072682""","""bacteria""","""firmicutes""","""bacilli""","""lactobacillales""","""enterococcaceae""","""enterococcus""",
"""ERR1072683""","""bacteria""","""firmicutes""","""erysipelotrichi""","""erysipelotrichales""","""erysipelotrichaceae""","""holdemania""",
"""ERR1072684""","""bacteria""","""verrucomicrobia""","""verrucomicrobiae""","""berrucomicrobiales""","""verrucomicrobiaceae""","""akkermansia""","""muciniphila"""
"""ERR1072685""","""bacteria""",,,,,,
"""ERR1072686""","""bacteria""","""actinobacteria""","""coriobacteriia""","""coriobacteriales""","""coriobacteriaceae""","""eggerthella""","""lenta"""
"""ERR1072687""","""bacteria""","""firmicutes""","""clostridia""","""clostridiales""","""christensenellaceae""",,
"""ERR1072688""","""bacteria""","""proteobacteria""","""gammaproteobacteria""","""enterobacteriales""","""enterobacteriaceae""",,